frame,timestamp,anchor_to_bottom_lip_top_center,thresh_1,thresh_2,thresh_3,thresh_4,thresh_5
166,5.533694046066927,70.90922722712278,Open,Closed,Closed,Closed,Closed
167,5.567029552368536,68.54484601070928,Closed,Closed,Closed,Closed,Closed
168,5.6003650586701434,69.2620948866286,Closed,Closed,Closed,Closed,Closed
169,5.633700564971751,77.18416440784958,Open,Open,Closed,Closed,Closed
170,5.667036071273359,84.96433651301297,Open,Open,Open,Closed,Closed
171,5.700371577574967,83.76837963892095,Open,Open,Open,Closed,Closed
172,5.733707083876575,87.95315936195504,Open,Open,Open,Closed,Closed
173,5.767042590178183,86.41927480346352,Open,Open,Open,Closed,Closed
174,5.8003780964797915,89.00872478765842,Open,Open,Open,Closed,Closed
175,5.833713602781399,84.81682122951895,Open,Open,Open,Closed,Closed
176,5.867049109083007,85.09879384369722,Open,Open,Open,Closed,Closed
177,5.900384615384615,82.12960275891288,Open,Open,Closed,Closed,Closed
178,5.933720121686223,80.528985254248,Open,Open,Closed,Closed,Closed
179,5.967055627987831,83.63933067750833,Open,Open,Open,Closed,Closed
180,6.000391134289439,87.67597903643085,Open,Open,Open,Closed,Closed
181,6.0337266405910475,75.09354741501323,Open,Closed,Closed,Closed,Closed
182,6.067062146892655,77.63925588909622,Open,Open,Closed,Closed,Closed
183,6.100397653194263,75.34141455584813,Open,Closed,Closed,Closed,Closed
184,6.133733159495871,80.45468839212924,Open,Open,Closed,Closed,Closed
185,6.167068665797479,73.83897704294407,Open,Closed,Closed,Closed,Closed
186,6.200404172099087,75.54442251822084,Open,Closed,Closed,Closed,Closed
187,6.2337396784006955,81.88095552122073,Open,Open,Closed,Closed,Closed
188,6.267075184702303,84.15236508202054,Open,Open,Open,Closed,Closed
189,6.300410691003911,85.66774911940736,Open,Open,Open,Closed,Closed
190,6.333746197305519,90.5025251881154,Open,Open,Open,Closed,Closed
191,6.367081703607127,84.16407673308346,Open,Open,Open,Closed,Closed
192,6.400417209908735,96.67011717656752,Open,Open,Open,Open,Closed
193,6.433752716210343,92.0147218311496,Open,Open,Open,Open,Closed
194,6.4670882225119515,91.4795217000929,Open,Open,Open,Open,Closed
195,6.500423728813559,86.83663712125772,Open,Open,Open,Closed,Closed
196,6.533759235115167,83.16549962395285,Open,Open,Closed,Closed,Closed
197,6.567094741416775,81.19516461490491,Open,Open,Closed,Closed,Closed
198,6.600430247718383,77.79514739271865,Open,Open,Closed,Closed,Closed
199,6.633765754019991,78.57822800779925,Open,Open,Closed,Closed,Closed
200,6.667101260321599,77.04583150690702,Open,Open,Closed,Closed,Closed
201,6.700436766623207,74.73879193106185,Open,Closed,Closed,Closed,Closed
202,6.733772272924815,76.1220577838832,Open,Closed,Closed,Closed,Closed
203,6.767107779226423,75.40677061159323,Open,Closed,Closed,Closed,Closed
204,6.800443285528031,73.18033109273486,Open,Closed,Closed,Closed,Closed
205,6.833778791829639,81.36955360682981,Open,Open,Closed,Closed,Closed
206,6.867114298131247,83.8639348049101,Open,Open,Open,Closed,Closed
207,6.900449804432855,87.8520388732941,Open,Open,Open,Closed,Closed
208,6.933785310734463,88.0,Open,Open,Open,Closed,Closed
209,6.967120817036071,93.71821571816862,Open,Open,Open,Open,Closed
210,7.000456323337679,90.81718636257872,Open,Open,Open,Open,Closed
211,7.033791829639287,88.42316236165475,Open,Open,Open,Closed,Closed
212,7.067127335940895,85.95530825078671,Open,Open,Open,Closed,Closed
213,7.100462842242503,83.96561430091742,Open,Open,Open,Closed,Closed
214,7.1337983485441105,76.91920642879687,Open,Open,Closed,Closed,Closed
215,7.167133854845719,77.00357124637428,Open,Open,Closed,Closed,Closed
216,7.200469361147327,78.66007653365483,Open,Open,Closed,Closed,Closed
217,7.233804867448935,75.8884779927501,Open,Closed,Closed,Closed,Closed
218,7.267140373750543,72.80758754525952,Open,Closed,Closed,Closed,Closed
219,7.300475880052151,70.2672829201343,Open,Closed,Closed,Closed,Closed
220,7.333811386353759,68.68304542176244,Closed,Closed,Closed,Closed,Closed
221,7.367146892655367,69.79646613328863,Open,Closed,Closed,Closed,Closed
222,7.400482398956975,69.64123775803702,Closed,Closed,Closed,Closed,Closed
223,7.433817905258583,72.11363182432149,Open,Closed,Closed,Closed,Closed
224,7.467153411560191,75.01828860398737,Open,Closed,Closed,Closed,Closed
225,7.500488917861799,80.46992926219106,Open,Open,Closed,Closed,Closed
226,7.533824424163407,82.75394777431174,Open,Open,Closed,Closed,Closed
227,7.567159930465015,93.11811701272302,Open,Open,Open,Open,Closed
228,7.600495436766623,91.08846015417836,Open,Open,Open,Open,Closed
229,7.633830943068231,93.34788423794636,Open,Open,Open,Open,Closed
230,7.667166449369839,93.18646295333777,Open,Open,Open,Open,Closed
231,7.700501955671447,88.39347269072725,Open,Open,Open,Closed,Closed
232,7.733837461973055,91.3140766236922,Open,Open,Open,Open,Closed
233,7.767172968274663,85.78086305215274,Open,Open,Open,Closed,Closed
234,7.8005084745762705,86.96931313513576,Open,Open,Open,Closed,Closed
235,7.833843980877879,83.68375661956631,Open,Open,Open,Closed,Closed
236,7.867179487179487,84.34416404837049,Open,Open,Open,Closed,Closed
237,7.900514993481095,84.3645523483951,Open,Open,Open,Closed,Closed
238,7.933850499782703,81.45395749998693,Open,Open,Closed,Closed,Closed
239,7.967186006084311,79.07008492417233,Open,Open,Closed,Closed,Closed
240,8.00052151238592,77.15000878872183,Open,Open,Closed,Closed,Closed
241,8.033857018687527,77.96372826926367,Open,Open,Closed,Closed,Closed
242,8.067192524989135,79.96989762431436,Open,Open,Closed,Closed,Closed
243,8.100528031290743,78.28029243618153,Open,Open,Closed,Closed,Closed
244,8.133863537592351,78.26035793053342,Open,Open,Closed,Closed,Closed
245,8.167199043893959,78.7360622533857,Open,Open,Closed,Closed,Closed
246,8.200534550195567,84.09601490486344,Open,Open,Open,Closed,Closed
247,8.233870056497175,86.74111935665763,Open,Open,Open,Closed,Closed
248,8.267205562798782,90.05273136199683,Open,Open,Open,Closed,Closed
249,8.30054106910039,94.1958999093334,Open,Open,Open,Open,Closed
250,8.333876575401998,93.39250924551274,Open,Open,Open,Open,Closed
251,8.367212081703606,96.56404507286484,Open,Open,Open,Open,Closed
252,8.400547588005216,92.8388868532928,Open,Open,Open,Open,Closed
253,8.433883094306823,92.3501203276713,Open,Open,Open,Open,Closed
254,8.467218600608431,90.4607281043296,Open,Open,Open,Closed,Closed
255,8.50055410691004,89.01081764469689,Open,Open,Open,Closed,Closed
256,8.533889613211647,88.82036350855074,Open,Open,Open,Closed,Closed
257,8.567225119513255,82.96142094408894,Open,Open,Closed,Closed,Closed
258,8.600560625814863,84.08790771376155,Open,Open,Open,Closed,Closed
259,8.63389613211647,81.78035018757504,Open,Open,Closed,Closed,Closed
260,8.667231638418079,80.59564735726646,Open,Open,Closed,Closed,Closed
261,8.700567144719686,76.30786702430447,Open,Closed,Closed,Closed,Closed
262,8.733902651021294,72.4355898308043,Open,Closed,Closed,Closed,Closed
263,8.767238157322902,71.76051025977188,Open,Closed,Closed,Closed,Closed
264,8.80057366362451,71.65363345233573,Open,Closed,Closed,Closed,Closed
265,8.833909169926118,74.98698323835349,Open,Closed,Closed,Closed,Closed
266,8.867244676227727,75.90490038857195,Open,Closed,Closed,Closed,Closed
267,8.900580182529335,82.13505534680962,Open,Open,Closed,Closed,Closed
268,8.933915688830943,88.8050419252292,Open,Open,Open,Closed,Closed
269,8.967251195132551,92.79571132170798,Open,Open,Open,Open,Closed
270,9.000586701434159,93.3513484599438,Open,Open,Open,Open,Closed
271,9.033922207735769,92.77364914821808,Open,Open,Open,Open,Closed
272,9.067257714037376,89.41621145380101,Open,Open,Open,Closed,Closed
273,9.100593220338984,95.64919875392128,Open,Open,Open,Open,Closed
274,9.13392872664059,91.86892126349676,Open,Open,Open,Open,Closed
275,9.167264232942198,89.32940730839655,Open,Open,Open,Closed,Closed
276,9.200599739243806,83.63356347397989,Open,Open,Open,Closed,Closed
277,9.233935245545414,90.63927179135356,Open,Open,Open,Open,Closed
278,9.267270751847022,89.23200040417044,Open,Open,Open,Closed,Closed
279,9.300606258148632,87.34334922644314,Open,Open,Open,Closed,Closed
280,9.33394176445024,85.91964163831378,Open,Open,Open,Closed,Closed
281,9.367277270751847,86.1843416214856,Open,Open,Open,Closed,Closed
282,9.400612777053457,81.80221082250635,Open,Open,Closed,Closed,Closed
283,9.433948283355065,81.70605959393967,Open,Open,Closed,Closed,Closed
284,9.46728378965667,78.1451618557737,Open,Open,Closed,Closed,Closed
285,9.50061929595828,74.36778732521391,Open,Closed,Closed,Closed,Closed
286,9.533954802259888,75.92776499445665,Open,Closed,Closed,Closed,Closed
287,9.567290308561494,76.58753515830134,Open,Closed,Closed,Closed,Closed
288,9.600625814863102,79.90163299585927,Open,Open,Closed,Closed,Closed
289,9.63396132116471,87.72536243211496,Open,Open,Open,Closed,Closed
290,9.667296827466318,90.7317556892221,Open,Open,Open,Open,Closed
291,9.700632333767926,96.29238070744056,Open,Open,Open,Open,Closed
292,9.733967840069534,96.30605425158788,Open,Open,Open,Open,Closed
293,9.767303346371143,94.23239560584656,Open,Open,Open,Open,Closed
294,9.800638852672751,93.90857347298228,Open,Open,Open,Open,Closed
295,9.83397435897436,92.2959429524715,Open,Open,Open,Open,Closed
296,9.867309865275969,91.70872614973644,Open,Open,Open,Open,Closed
297,9.900645371577577,91.64772522230705,Open,Open,Open,Open,Closed
298,9.933980877879184,89.48312417355828,Open,Open,Open,Closed,Closed
299,9.96731638418079,88.24559580400475,Open,Open,Open,Closed,Closed
300,10.000651890482398,87.15306731507428,Open,Open,Open,Closed,Closed
301,10.033987396784006,89.25181037272947,Open,Open,Open,Closed,Closed
302,10.067322903085614,83.68200973159858,Open,Open,Open,Closed,Closed
303,10.100658409387222,76.88703307796916,Open,Open,Closed,Closed,Closed
304,10.13399391568883,74.61638125684533,Open,Closed,Closed,Closed,Closed
305,10.167329421990438,70.28270931514427,Open,Closed,Closed,Closed,Closed
306,10.200664928292047,71.58364773663389,Open,Closed,Closed,Closed,Closed
307,10.234000434593655,71.34423733169318,Open,Closed,Closed,Closed,Closed
308,10.267335940895263,76.15119107742579,Open,Closed,Closed,Closed,Closed
309,10.300671447196873,81.61020534952846,Open,Open,Closed,Closed,Closed
310,10.33400695349848,85.03809815226387,Open,Open,Open,Closed,Closed
311,10.367342459800089,92.9775449844771,Open,Open,Open,Open,Closed
312,10.400677966101696,95.41659847240388,Open,Open,Open,Open,Closed
313,10.434013472403302,94.35871324805667,Open,Open,Open,Open,Closed
314,10.46734897870491,94.56776670494916,Open,Open,Open,Open,Closed
315,10.500684485006518,95.28364412626055,Open,Open,Open,Open,Closed
316,10.534019991308126,92.77619687668034,Open,Open,Open,Open,Closed
317,10.567355497609734,92.6700696032598,Open,Open,Open,Open,Closed
318,10.600691003911342,94.27058232936398,Open,Open,Open,Open,Closed
319,10.63402651021295,90.78529486090272,Open,Open,Open,Open,Closed
320,10.66736201651456,89.86972477925366,Open,Open,Open,Closed,Closed
321,10.700697522816167,90.8611094227018,Open,Open,Open,Open,Closed
322,10.734033029117777,87.82175777328283,Open,Open,Open,Closed,Closed
323,10.767368535419385,82.95071769405399,Open,Open,Closed,Closed,Closed
324,10.80070404172099,83.35530448661441,Open,Open,Closed,Closed,Closed
325,10.8340395480226,85.37801912266056,Open,Open,Open,Closed,Closed
326,10.867375054324206,78.01196832640348,Open,Open,Closed,Closed,Closed
327,10.900710560625814,81.75579039803353,Open,Open,Closed,Closed,Closed
328,10.934046066927422,80.37428765163638,Open,Open,Closed,Closed,Closed
329,10.96738157322903,75.32714374920225,Open,Closed,Closed,Closed,Closed
330,11.000717079530638,76.28093070328556,Open,Closed,Closed,Closed,Closed
331,11.034052585832246,85.3279939960265,Open,Open,Open,Closed,Closed
332,11.067388092133854,85.90160241144085,Open,Open,Open,Closed,Closed
333,11.100723598435462,91.57803618218728,Open,Open,Open,Open,Closed
334,11.134059104737071,93.38877178773842,Open,Open,Open,Open,Closed
335,11.16739461103868,95.64706534439624,Open,Open,Open,Open,Closed
336,11.200730117340289,94.46255121200988,Open,Open,Open,Open,Closed
337,11.234065623641897,92.9633785567198,Open,Open,Open,Open,Closed
338,11.267401129943504,91.50549202871328,Open,Open,Open,Open,Closed
339,11.30073663624511,87.5270163803632,Open,Open,Open,Closed,Closed
340,11.334072142546718,86.12385225426601,Open,Open,Open,Closed,Closed
341,11.367407648848326,87.2750891366177,Open,Open,Open,Closed,Closed
342,11.400743155149934,85.76848288672558,Open,Open,Open,Closed,Closed
343,11.434078661451542,80.91533613277333,Open,Open,Closed,Closed,Closed
344,11.46741416775315,81.43790576426973,Open,Open,Closed,Closed,Closed
345,11.500749674054758,82.7628683056517,Open,Open,Closed,Closed,Closed
346,11.534085180356366,80.33483507029618,Open,Open,Closed,Closed,Closed
347,11.567420686657975,76.23785545725808,Open,Closed,Closed,Closed,Closed
348,11.600756192959585,73.52872332788091,Open,Closed,Closed,Closed,Closed
349,11.634091699261193,70.43118000328764,Open,Closed,Closed,Closed,Closed
350,11.6674272055628,70.64326418433383,Open,Closed,Closed,Closed,Closed
351,11.700762711864408,78.53166283953712,Open,Open,Closed,Closed,Closed
352,11.734098218166016,82.884951914082,Open,Open,Closed,Closed,Closed
353,11.767433724467622,89.88093800448803,Open,Open,Open,Closed,Closed
354,11.80076923076923,95.3772890632311,Open,Open,Open,Open,Closed
355,11.834104737070838,96.25430622746656,Open,Open,Open,Open,Closed
356,11.867440243372446,94.74637886906268,Open,Open,Open,Open,Closed
357,11.900775749674054,88.49202445755034,Open,Open,Open,Closed,Closed
358,11.934111255975662,87.00592297628923,Open,Open,Open,Closed,Closed
359,11.96744676227727,91.14181690868648,Open,Open,Open,Open,Closed
360,12.000782268578876,89.6283076411072,Open,Open,Open,Closed,Closed
361,12.034117774880489,85.39097697715744,Open,Open,Open,Closed,Closed
362,12.067453281182097,80.38508362736314,Open,Open,Closed,Closed,Closed
363,12.100788787483705,81.96308062311579,Open,Open,Closed,Closed,Closed
364,12.13412429378531,77.97600130495621,Open,Open,Closed,Closed,Closed
365,12.16745980008692,79.9565543977703,Open,Open,Closed,Closed,Closed
366,12.200795306388526,79.09003037092353,Open,Open,Closed,Closed,Closed
367,12.234130812690134,83.5583838022723,Open,Open,Closed,Closed,Closed
368,12.267466318991742,85.08021667842753,Open,Open,Open,Closed,Closed
369,12.30080182529335,75.64037867285259,Open,Closed,Closed,Closed,Closed
370,12.334137331594958,80.45520903137017,Open,Open,Closed,Closed,Closed
371,12.367472837896566,86.9947495489297,Open,Open,Open,Closed,Closed
372,12.400808344198174,92.2001281424669,Open,Open,Open,Open,Closed
373,12.43414385049978,94.73741401384063,Open,Open,Open,Open,Closed
374,12.467479356801393,94.56966487312934,Open,Open,Open,Open,Closed
375,12.500814863103,94.29239656942786,Open,Open,Open,Open,Closed
376,12.534150369404609,87.24340279281019,Open,Open,Open,Closed,Closed
377,12.567485875706216,89.82492102032495,Open,Open,Open,Closed,Closed
378,12.600821382007824,87.73178058344584,Open,Open,Open,Closed,Closed
379,12.63415688830943,91.11046226153243,Open,Open,Open,Open,Closed
380,12.667492394611038,90.10092581303236,Open,Open,Open,Closed,Closed
381,12.700827900912646,89.94699088556462,Open,Open,Open,Closed,Closed
382,12.734163407214254,87.8314734951022,Open,Open,Open,Closed,Closed
383,12.767498913515862,85.37861975307689,Open,Open,Open,Closed,Closed
384,12.80083441981747,79.9578451601609,Open,Open,Closed,Closed,Closed
385,12.834169926119078,76.51819473865442,Open,Closed,Closed,Closed,Closed
386,12.867505432420684,71.76164427839478,Open,Closed,Closed,Closed,Closed
387,12.900840938722292,68.34800551743068,Closed,Closed,Closed,Closed,Closed
