frame,timestamp,aspect_ratio_top_lip_heigh_to_mouth_width,thresh_1,thresh_2,thresh_3,thresh_4,thresh_5
31,1.0334006953498478,0.1606651213493191,Open,Open,Open,Open,Open
32,1.066736201651456,0.1143179428513377,Open,Open,Open,Closed,Closed
33,1.1000717079530635,0.1498627962371948,Open,Open,Open,Open,Closed
34,1.1334072142546718,0.1756588487051098,Open,Open,Open,Open,Open
35,1.16674272055628,0.109160938899893,Open,Open,Closed,Closed,Closed
36,1.2000782268578878,0.1488095238095238,Open,Open,Open,Open,Closed
37,1.233413733159496,0.088795356773963,Open,Closed,Closed,Closed,Closed
38,1.2667492394611035,0.1267404075601315,Open,Open,Open,Closed,Closed
39,1.3000847457627118,0.117658803367973,Open,Open,Open,Closed,Closed
40,1.33342025206432,0.1127049479046431,Open,Open,Closed,Closed,Closed
41,1.3667557583659278,0.1128292882302899,Open,Open,Open,Closed,Closed
42,1.400091264667536,0.0961817214453226,Open,Open,Closed,Closed,Closed
43,1.4334267709691435,0.1122957723121976,Open,Open,Closed,Closed,Closed
44,1.4667622772707518,0.0978682338424063,Open,Open,Closed,Closed,Closed
45,1.5000977835723597,0.1036673056623895,Open,Open,Closed,Closed,Closed
46,1.5334332898739678,0.0654436807583114,Closed,Closed,Closed,Closed,Closed
47,1.566768796175576,0.1105878806369545,Open,Open,Closed,Closed,Closed
48,1.6001043024771835,0.1026518767372607,Open,Open,Closed,Closed,Closed
49,1.6334398087787918,0.109216371403275,Open,Open,Closed,Closed,Closed
50,1.6667753150803997,0.0432052038683814,Closed,Closed,Closed,Closed,Closed
51,1.7001108213820078,0.1173966062390545,Open,Open,Open,Closed,Closed
52,1.7334463276836158,0.1373727906222589,Open,Open,Open,Open,Closed
53,1.7667818339852237,0.1084317674774322,Open,Open,Closed,Closed,Closed
54,1.8001173402868318,0.0871511740531153,Open,Closed,Closed,Closed,Closed
55,1.8334528465884397,0.0763590453073304,Open,Closed,Closed,Closed,Closed
56,1.8667883528900475,0.1036573351893411,Open,Open,Closed,Closed,Closed
57,1.900123859191656,0.085786310708761,Open,Closed,Closed,Closed,Closed
58,1.9334593654932637,0.0717396195160736,Open,Closed,Closed,Closed,Closed
59,1.966794871794872,0.0852732036907286,Open,Closed,Closed,Closed,Closed
60,2.00013037809648,0.1072984715978069,Open,Open,Closed,Closed,Closed
61,2.0334658843980877,0.0708484101487745,Open,Closed,Closed,Closed,Closed
62,2.0668013906996956,0.1101567747964051,Open,Open,Closed,Closed,Closed
63,2.100136897001304,0.1024962192897162,Open,Open,Closed,Closed,Closed
64,2.133472403302912,0.1215926852040805,Open,Open,Open,Closed,Closed
65,2.1668079096045196,0.1270770113541202,Open,Open,Open,Closed,Closed
66,2.2001434159061275,0.1369060412817852,Open,Open,Open,Open,Closed
67,2.233478922207736,0.1054273982911051,Open,Open,Closed,Closed,Closed
68,2.2668144285093437,0.1453585263487493,Open,Open,Open,Open,Closed
69,2.3001499348109515,0.1013772850196763,Open,Open,Closed,Closed,Closed
70,2.33348544111256,0.1111084320241971,Open,Open,Closed,Closed,Closed
71,2.3668209474141677,0.1016762232685992,Open,Open,Closed,Closed,Closed
72,2.4001564537157756,0.095168302813571,Open,Open,Closed,Closed,Closed
73,2.433491960017383,0.1133115447465063,Open,Open,Open,Closed,Closed
74,2.4668274663189917,0.0795441705912864,Open,Closed,Closed,Closed,Closed
75,2.5001629726205996,0.0979577132739861,Open,Open,Closed,Closed,Closed
76,2.5334984789222075,0.0842661820703205,Open,Closed,Closed,Closed,Closed
77,2.566833985223816,0.081687224075019,Open,Closed,Closed,Closed,Closed
78,2.6001694915254236,0.106455145798478,Open,Open,Closed,Closed,Closed
79,2.6335049978270315,0.1042109385460846,Open,Open,Closed,Closed,Closed
80,2.66684050412864,0.1152710783806549,Open,Open,Open,Closed,Closed
81,2.7001760104302477,0.0912484868158994,Open,Open,Closed,Closed,Closed
82,2.7335115167318556,0.103647610670455,Open,Open,Closed,Closed,Closed
83,2.7668470230334634,0.1205482825878939,Open,Open,Open,Closed,Closed
84,2.8001825293350717,0.1268170511323191,Open,Open,Open,Closed,Closed
85,2.8335180356366796,0.1013323920879574,Open,Open,Closed,Closed,Closed
86,2.8668535419382875,0.0995651102852489,Open,Open,Closed,Closed,Closed
87,2.900189048239896,0.1267031786896045,Open,Open,Open,Closed,Closed
88,2.9335245545415036,0.1313597006229995,Open,Open,Open,Closed,Closed
89,2.9668600608431115,0.1367697907053229,Open,Open,Open,Open,Closed
90,3.0001955671447194,0.1283065786350428,Open,Open,Open,Closed,Closed
91,3.0335310734463277,0.1073533058617631,Open,Open,Closed,Closed,Closed
92,3.0668665797479355,0.1046796893230458,Open,Open,Closed,Closed,Closed
93,3.1002020860495434,0.1180246379450834,Open,Open,Open,Closed,Closed
94,3.1335375923511517,0.1483213033154842,Open,Open,Open,Open,Closed
95,3.1668730986527596,0.0875041018509136,Open,Closed,Closed,Closed,Closed
96,3.200208604954367,0.127959019134785,Open,Open,Open,Closed,Closed
97,3.2335441112559757,0.0915337710612993,Open,Open,Closed,Closed,Closed
98,3.2668796175575836,0.0893557778953245,Open,Closed,Closed,Closed,Closed
99,3.3002151238591915,0.1240347345892084,Open,Open,Open,Closed,Closed
100,3.3335506301607993,0.0785317837984718,Open,Closed,Closed,Closed,Closed
101,3.3668861364624076,0.102401027800743,Open,Open,Closed,Closed,Closed
102,3.4002216427640155,0.0898250908572807,Open,Open,Closed,Closed,Closed
103,3.4335571490656234,0.1117608152136181,Open,Open,Closed,Closed,Closed
104,3.4668926553672317,0.1056422490279366,Open,Open,Closed,Closed,Closed
105,3.5002281616688395,0.1175776030860402,Open,Open,Open,Closed,Closed
106,3.5335636679704474,0.1441346515807078,Open,Open,Open,Open,Closed
107,3.5668991742720553,0.1276991572472811,Open,Open,Open,Closed,Closed
108,3.6002346805736636,0.1187295428867706,Open,Open,Open,Closed,Closed
109,3.633570186875271,0.0992487264606481,Open,Open,Closed,Closed,Closed
110,3.6669056931768793,0.1034322234705945,Open,Open,Closed,Closed,Closed
111,3.700241199478488,0.0999978166653928,Open,Open,Closed,Closed,Closed
112,3.733576705780095,0.0969164243922875,Open,Open,Closed,Closed,Closed
113,3.7669122120817033,0.1084124648901966,Open,Open,Closed,Closed,Closed
114,3.800247718383312,0.0818930163004032,Open,Closed,Closed,Closed,Closed
115,3.833583224684919,0.0745049904033776,Open,Closed,Closed,Closed,Closed
116,3.8669187309865274,0.09668755178073,Open,Open,Closed,Closed,Closed
117,3.9002542372881353,0.1077172174211436,Open,Open,Closed,Closed,Closed
118,3.933589743589744,0.1092005586015016,Open,Open,Closed,Closed,Closed
119,3.966925249891351,0.0894661630877516,Open,Closed,Closed,Closed,Closed
120,4.00026075619296,0.1061580656295159,Open,Open,Closed,Closed,Closed
121,4.033596262494568,0.096362277255145,Open,Open,Closed,Closed,Closed
122,4.0669317687961755,0.077258733597558,Open,Closed,Closed,Closed,Closed
123,4.100267275097783,0.1192281062037696,Open,Open,Open,Closed,Closed
124,4.133602781399391,0.1372564796492968,Open,Open,Open,Open,Closed
125,4.166938287700999,0.1537614687467443,Open,Open,Open,Open,Closed
126,4.200273794002608,0.1143030716456882,Open,Open,Open,Closed,Closed
127,4.233609300304216,0.1283398579303172,Open,Open,Open,Closed,Closed
128,4.2669448066058235,0.1107505270457728,Open,Open,Closed,Closed,Closed
129,4.300280312907431,0.1029739340662862,Open,Open,Closed,Closed,Closed
130,4.333615819209039,0.1313029819225779,Open,Open,Open,Closed,Closed
131,4.366951325510647,0.1290014837037738,Open,Open,Open,Closed,Closed
132,4.400286831812255,0.1078901605732757,Open,Open,Closed,Closed,Closed
133,4.433622338113864,0.0958955719396466,Open,Open,Closed,Closed,Closed
134,4.466957844415472,0.0802365651859615,Open,Closed,Closed,Closed,Closed
135,4.5002933507170795,0.0797067729183022,Open,Closed,Closed,Closed,Closed
136,4.533628857018687,0.0801662460332212,Open,Closed,Closed,Closed,Closed
137,4.566964363320295,0.0815654054819212,Open,Closed,Closed,Closed,Closed
138,4.600299869621903,0.0824162025594834,Open,Closed,Closed,Closed,Closed
139,4.633635375923511,0.095988443238941,Open,Open,Closed,Closed,Closed
140,4.66697088222512,0.0892167649811176,Open,Closed,Closed,Closed,Closed
141,4.700306388526728,0.1175907573191726,Open,Open,Open,Closed,Closed
142,4.733641894828335,0.1141536698297274,Open,Open,Open,Closed,Closed
143,4.766977401129943,0.1349032034328142,Open,Open,Open,Closed,Closed
144,4.800312907431551,0.1528729360604437,Open,Open,Open,Open,Closed
145,4.833648413733159,0.1323567363046731,Open,Open,Open,Closed,Closed
146,4.866983920034767,0.1156299782222942,Open,Open,Open,Closed,Closed
147,4.900319426336376,0.1181722475939467,Open,Open,Open,Closed,Closed
148,4.9336549326379835,0.1035928742948945,Open,Open,Closed,Closed,Closed
149,4.966990438939591,0.0897859108415552,Open,Open,Closed,Closed,Closed
150,5.000325945241199,0.0828738640063608,Open,Closed,Closed,Closed,Closed
151,5.033661451542807,0.0887263775382514,Open,Closed,Closed,Closed,Closed
152,5.066996957844415,0.0855746858077694,Open,Closed,Closed,Closed,Closed
153,5.100332464146024,0.0645221829831554,Closed,Closed,Closed,Closed,Closed
154,5.133667970447632,0.0824162025594834,Open,Closed,Closed,Closed,Closed
155,5.167003476749239,0.0970849148916332,Open,Open,Closed,Closed,Closed
156,5.200338983050847,0.1022309587309403,Open,Open,Closed,Closed,Closed
157,5.233674489352455,0.0874827640128198,Open,Closed,Closed,Closed,Closed
158,5.267009995654063,0.0819620304826818,Open,Closed,Closed,Closed,Closed
159,5.300345501955671,0.1098742912048183,Open,Open,Closed,Closed,Closed
160,5.33368100825728,0.0878057743807236,Open,Closed,Closed,Closed,Closed
161,5.3670165145588875,0.1295349173385743,Open,Open,Open,Closed,Closed
162,5.400352020860495,0.1537446319668397,Open,Open,Open,Open,Closed
163,5.433687527162103,0.1489864170573664,Open,Open,Open,Open,Closed
164,5.467023033463711,0.1009740489652524,Open,Open,Closed,Closed,Closed
165,5.500358539765319,0.1169980052010168,Open,Open,Open,Closed,Closed
166,5.533694046066927,0.1218312562859726,Open,Open,Open,Closed,Closed
167,5.567029552368536,0.0962740084549896,Open,Open,Closed,Closed,Closed
168,5.6003650586701434,0.1303589814791738,Open,Open,Open,Closed,Closed
169,5.633700564971751,0.091665939623709,Open,Open,Closed,Closed,Closed
170,5.667036071273359,0.0894063310073324,Open,Closed,Closed,Closed,Closed
171,5.700371577574967,0.0964616584806775,Open,Open,Closed,Closed,Closed
172,5.733707083876575,0.0750812825968168,Open,Closed,Closed,Closed,Closed
173,5.767042590178183,0.0874014087596351,Open,Closed,Closed,Closed,Closed
174,5.8003780964797915,0.0905704163575662,Open,Open,Closed,Closed,Closed
175,5.833713602781399,0.0770842287971768,Open,Closed,Closed,Closed,Closed
176,5.867049109083007,0.1118497550647534,Open,Open,Closed,Closed,Closed
177,5.900384615384615,0.1097601911052899,Open,Open,Closed,Closed,Closed
178,5.933720121686223,0.099542075247472,Open,Open,Closed,Closed,Closed
179,5.967055627987831,0.1079022854377699,Open,Open,Closed,Closed,Closed
180,6.000391134289439,0.096984643915472,Open,Open,Closed,Closed,Closed
181,6.0337266405910475,0.1332859511949027,Open,Open,Open,Closed,Closed
182,6.067062146892655,0.0980038768672085,Open,Open,Closed,Closed,Closed
183,6.100397653194263,0.0882970949565012,Open,Closed,Closed,Closed,Closed
184,6.133733159495871,0.0813313346270543,Open,Closed,Closed,Closed,Closed
185,6.167068665797479,0.1100553378842369,Open,Open,Closed,Closed,Closed
186,6.200404172099087,0.0995037190209989,Open,Open,Closed,Closed,Closed
187,6.2337396784006955,0.080044460565877,Open,Closed,Closed,Closed,Closed
188,6.267075184702303,0.0895063907358182,Open,Closed,Closed,Closed,Closed
189,6.300410691003911,0.0880889133339747,Open,Closed,Closed,Closed,Closed
190,6.333746197305519,0.1001511110602476,Open,Open,Closed,Closed,Closed
191,6.367081703607127,0.1017518805631793,Open,Open,Closed,Closed,Closed
192,6.400417209908735,0.078610871756543,Open,Closed,Closed,Closed,Closed
193,6.433752716210343,0.0874444610579274,Open,Closed,Closed,Closed,Closed
194,6.4670882225119515,0.0779006644234429,Open,Closed,Closed,Closed,Closed
195,6.500423728813559,0.098809980244582,Open,Open,Closed,Closed,Closed
196,6.533759235115167,0.1204141440935102,Open,Open,Open,Closed,Closed
197,6.567094741416775,0.1294783769758678,Open,Open,Open,Closed,Closed
198,6.600430247718383,0.1418931674540826,Open,Open,Open,Open,Closed
199,6.633765754019991,0.1019087608477571,Open,Open,Closed,Closed,Closed
200,6.667101260321599,0.1494130154610582,Open,Open,Open,Open,Closed
201,6.700436766623207,0.1280368799328959,Open,Open,Open,Closed,Closed
202,6.733772272924815,0.1191281663627866,Open,Open,Open,Closed,Closed
203,6.767107779226423,0.126890833756362,Open,Open,Open,Closed,Closed
204,6.800443285528031,0.1106132637509944,Open,Open,Closed,Closed,Closed
205,6.833778791829639,0.0876610882892902,Open,Closed,Closed,Closed,Closed
206,6.867114298131247,0.0734276591573369,Open,Closed,Closed,Closed,Closed
207,6.900449804432855,0.0766585083768907,Open,Closed,Closed,Closed,Closed
208,6.933785310734463,0.1084229532565947,Open,Open,Closed,Closed,Closed
209,6.967120817036071,0.088003910781436,Open,Closed,Closed,Closed,Closed
210,7.000456323337679,0.0725509943304607,Open,Closed,Closed,Closed,Closed
211,7.033791829639287,0.0970433870890898,Open,Open,Closed,Closed,Closed
212,7.067127335940895,0.0882784895286459,Open,Closed,Closed,Closed,Closed
213,7.100462842242503,0.1022768292607937,Open,Open,Closed,Closed,Closed
214,7.1337983485441105,0.0849123731886943,Open,Closed,Closed,Closed,Closed
215,7.167133854845719,0.1103872831396625,Open,Open,Closed,Closed,Closed
216,7.200469361147327,0.1082480723032983,Open,Open,Closed,Closed,Closed
217,7.233804867448935,0.1259826790900572,Open,Open,Open,Closed,Closed
218,7.267140373750543,0.1540797297705228,Open,Open,Open,Open,Closed
219,7.300475880052151,0.1105583595060331,Open,Open,Closed,Closed,Closed
220,7.333811386353759,0.1385938597293054,Open,Open,Open,Open,Closed
221,7.367146892655367,0.1304689999426197,Open,Open,Open,Closed,Closed
222,7.400482398956975,0.1152847900657305,Open,Open,Open,Closed,Closed
223,7.433817905258583,0.1042371556374434,Open,Open,Closed,Closed,Closed
224,7.467153411560191,0.107808668414224,Open,Open,Closed,Closed,Closed
225,7.500488917861799,0.0879876897672547,Open,Closed,Closed,Closed,Closed
226,7.533824424163407,0.0853595065189569,Open,Closed,Closed,Closed,Closed
227,7.567159930465015,0.0868283843883611,Open,Closed,Closed,Closed,Closed
228,7.600495436766623,0.071789285902307,Open,Closed,Closed,Closed,Closed
229,7.633830943068231,0.0812503791768108,Open,Closed,Closed,Closed,Closed
230,7.667166449369839,0.0809628870225006,Open,Closed,Closed,Closed,Closed
231,7.700501955671447,0.0861136630710857,Open,Closed,Closed,Closed,Closed
232,7.733837461973055,0.0993284716735602,Open,Open,Closed,Closed,Closed
233,7.767172968274663,0.1174139827163462,Open,Open,Open,Closed,Closed
234,7.8005084745762705,0.0930174513531713,Open,Open,Closed,Closed,Closed
235,7.833843980877879,0.1141964862500766,Open,Open,Open,Closed,Closed
236,7.867179487179487,0.1127045798015042,Open,Open,Closed,Closed,Closed
237,7.900514993481095,0.1370117972750537,Open,Open,Open,Open,Closed
238,7.933850499782703,0.1481096212581358,Open,Open,Open,Open,Closed
239,7.967186006084311,0.1397895002950656,Open,Open,Open,Open,Closed
240,8.00052151238592,0.1176470588235294,Open,Open,Open,Closed,Closed
241,8.033857018687527,0.1037681504123814,Open,Open,Closed,Closed,Closed
242,8.067192524989135,0.1012120705238821,Open,Open,Closed,Closed,Closed
243,8.100528031290743,0.1089542139776115,Open,Open,Closed,Closed,Closed
244,8.133863537592351,0.1050049829018518,Open,Open,Closed,Closed,Closed
245,8.167199043893959,0.1036636272154388,Open,Open,Closed,Closed,Closed
246,8.200534550195567,0.0793556608476134,Open,Closed,Closed,Closed,Closed
247,8.233870056497175,0.083326276867481,Open,Closed,Closed,Closed,Closed
248,8.267205562798782,0.08978574804539,Open,Open,Closed,Closed,Closed
249,8.30054106910039,0.0650311828980081,Closed,Closed,Closed,Closed,Closed
250,8.333876575401998,0.0919647912014684,Open,Open,Closed,Closed,Closed
251,8.367212081703606,0.0841956727321157,Open,Closed,Closed,Closed,Closed
252,8.400547588005216,0.0814447955180755,Open,Closed,Closed,Closed,Closed
253,8.433883094306823,0.093368322028752,Open,Open,Closed,Closed,Closed
254,8.467218600608431,0.094722317810671,Open,Open,Closed,Closed,Closed
255,8.50055410691004,0.0959527684518426,Open,Open,Closed,Closed,Closed
256,8.533889613211647,0.1134114007207177,Open,Open,Open,Closed,Closed
257,8.567225119513255,0.0975078923644452,Open,Open,Closed,Closed,Closed
258,8.600560625814863,0.0963813450756318,Open,Open,Closed,Closed,Closed
259,8.63389613211647,0.1230315217295076,Open,Open,Open,Closed,Closed
260,8.667231638418079,0.1501241925292895,Open,Open,Open,Open,Closed
261,8.700567144719686,0.1205301959631106,Open,Open,Open,Closed,Closed
262,8.733902651021294,0.1115222667319804,Open,Open,Closed,Closed,Closed
263,8.767238157322902,0.1197009983819838,Open,Open,Open,Closed,Closed
264,8.80057366362451,0.1058985155351873,Open,Open,Closed,Closed,Closed
265,8.833909169926118,0.107868960722731,Open,Open,Closed,Closed,Closed
266,8.867244676227727,0.0938729219991947,Open,Open,Closed,Closed,Closed
267,8.900580182529335,0.0855261278816204,Open,Closed,Closed,Closed,Closed
268,8.933915688830943,0.0792520431173553,Open,Closed,Closed,Closed,Closed
269,8.967251195132551,0.1026635322311276,Open,Open,Closed,Closed,Closed
270,9.000586701434159,0.0759003717666239,Open,Closed,Closed,Closed,Closed
271,9.033922207735769,0.0768813099933705,Open,Closed,Closed,Closed,Closed
272,9.067257714037376,0.0791952519648687,Open,Closed,Closed,Closed,Closed
273,9.100593220338984,0.0894192881495092,Open,Closed,Closed,Closed,Closed
274,9.13392872664059,0.1037815204499753,Open,Open,Closed,Closed,Closed
275,9.167264232942198,0.0959088402352045,Open,Open,Closed,Closed,Closed
276,9.200599739243806,0.0837363108596072,Open,Closed,Closed,Closed,Closed
277,9.233935245545414,0.1218623428365999,Open,Open,Open,Closed,Closed
278,9.267270751847022,0.1350412025835851,Open,Open,Open,Closed,Closed
279,9.300606258148632,0.1325055835934237,Open,Open,Open,Closed,Closed
280,9.33394176445024,0.1461768331238123,Open,Open,Open,Open,Closed
281,9.367277270751847,0.1179773960809752,Open,Open,Open,Closed,Closed
282,9.400612777053457,0.1228590233667902,Open,Open,Open,Closed,Closed
283,9.433948283355065,0.1291744555688256,Open,Open,Open,Closed,Closed
284,9.46728378965667,0.1169161648281714,Open,Open,Open,Closed,Closed
285,9.50061929595828,0.102099233393682,Open,Open,Closed,Closed,Closed
286,9.533954802259888,0.0881988678707421,Open,Closed,Closed,Closed,Closed
287,9.567290308561494,0.0936786257985611,Open,Open,Closed,Closed,Closed
288,9.600625814863102,0.0911921505175106,Open,Open,Closed,Closed,Closed
289,9.63396132116471,0.0873647057994659,Open,Closed,Closed,Closed,Closed
290,9.667296827466318,0.0793904526135218,Open,Closed,Closed,Closed,Closed
291,9.700632333767926,0.0838670406571568,Open,Closed,Closed,Closed,Closed
292,9.733967840069534,0.0901030727697572,Open,Open,Closed,Closed,Closed
293,9.767303346371143,0.0966158552440884,Open,Open,Closed,Closed,Closed
294,9.800638852672751,0.0816054961269257,Open,Closed,Closed,Closed,Closed
295,9.83397435897436,0.0928312827597654,Open,Open,Closed,Closed,Closed
296,9.867309865275969,0.1042106670930161,Open,Open,Closed,Closed,Closed
297,9.900645371577577,0.0929181301776809,Open,Open,Closed,Closed,Closed
298,9.933980877879184,0.0957781301715633,Open,Open,Closed,Closed,Closed
299,9.96731638418079,0.1021521502841412,Open,Open,Closed,Closed,Closed
300,10.000651890482398,0.1034371124845244,Open,Open,Closed,Closed,Closed
301,10.033987396784006,0.1348123628932535,Open,Open,Open,Closed,Closed
302,10.067322903085614,0.1386428402417847,Open,Open,Open,Open,Closed
303,10.100658409387222,0.1178062430774103,Open,Open,Open,Closed,Closed
304,10.13399391568883,0.1163611425223991,Open,Open,Open,Closed,Closed
305,10.167329421990438,0.1140903705043297,Open,Open,Open,Closed,Closed
306,10.200664928292047,0.0984311100264529,Open,Open,Closed,Closed,Closed
307,10.234000434593655,0.099111970574691,Open,Open,Closed,Closed,Closed
308,10.267335940895263,0.0922979897880713,Open,Open,Closed,Closed,Closed
309,10.300671447196873,0.0803600634088421,Open,Closed,Closed,Closed,Closed
310,10.33400695349848,0.088915510212461,Open,Closed,Closed,Closed,Closed
311,10.367342459800089,0.098283057694856,Open,Open,Closed,Closed,Closed
312,10.400677966101696,0.0898806117004439,Open,Open,Closed,Closed,Closed
313,10.434013472403302,0.0956975717976749,Open,Open,Closed,Closed,Closed
314,10.46734897870491,0.0855318690256492,Open,Closed,Closed,Closed,Closed
315,10.500684485006518,0.115638667470838,Open,Open,Open,Closed,Closed
316,10.534019991308126,0.09233160014506,Open,Open,Closed,Closed,Closed
317,10.567355497609734,0.1030880558845552,Open,Open,Closed,Closed,Closed
318,10.600691003911342,0.106696437835144,Open,Open,Closed,Closed,Closed
319,10.63402651021295,0.0993042520042446,Open,Open,Closed,Closed,Closed
320,10.66736201651456,0.1182441054729798,Open,Open,Open,Closed,Closed
321,10.700697522816167,0.0997176636391061,Open,Open,Closed,Closed,Closed
322,10.734033029117777,0.103112030150465,Open,Open,Closed,Closed,Closed
323,10.767368535419385,0.1211752197778174,Open,Open,Open,Closed,Closed
324,10.80070404172099,0.1272718390609718,Open,Open,Open,Closed,Closed
325,10.8340395480226,0.1411175506098683,Open,Open,Open,Open,Closed
326,10.867375054324206,0.1164348756508762,Open,Open,Open,Closed,Closed
327,10.900710560625814,0.1009508930250137,Open,Open,Closed,Closed,Closed
328,10.934046066927422,0.0906040821905047,Open,Open,Closed,Closed,Closed
329,10.96738157322903,0.0885595374951424,Open,Closed,Closed,Closed,Closed
330,11.000717079530638,0.1009954378283594,Open,Open,Closed,Closed,Closed
331,11.034052585832246,0.0787904233139074,Open,Closed,Closed,Closed,Closed
332,11.067388092133854,0.077883048838002,Open,Closed,Closed,Closed,Closed
333,11.100723598435462,0.0900472706717588,Open,Open,Closed,Closed,Closed
334,11.134059104737071,0.0760011400256506,Open,Closed,Closed,Closed,Closed
335,11.16739461103868,0.0741005069529424,Open,Closed,Closed,Closed,Closed
336,11.200730117340289,0.0966709358294544,Open,Open,Closed,Closed,Closed
337,11.234065623641897,0.0868353877149894,Open,Closed,Closed,Closed,Closed
338,11.267401129943504,0.0937329752050943,Open,Open,Closed,Closed,Closed
339,11.30073663624511,0.1101396831822281,Open,Open,Closed,Closed,Closed
340,11.334072142546718,0.0995508261542442,Open,Open,Closed,Closed,Closed
341,11.367407648848326,0.1209484760520077,Open,Open,Open,Closed,Closed
342,11.400743155149934,0.1064080793960761,Open,Open,Closed,Closed,Closed
343,11.434078661451542,0.1303827296336781,Open,Open,Open,Closed,Closed
344,11.46741416775315,0.1480284629950014,Open,Open,Open,Open,Closed
345,11.500749674054758,0.1334695466399198,Open,Open,Open,Closed,Closed
346,11.534085180356366,0.1253788034636503,Open,Open,Open,Closed,Closed
347,11.567420686657975,0.0996589578536226,Open,Open,Closed,Closed,Closed
348,11.600756192959585,0.1170493560974835,Open,Open,Open,Closed,Closed
349,11.634091699261193,0.1003136522600448,Open,Open,Closed,Closed,Closed
350,11.6674272055628,0.0996842429755276,Open,Open,Closed,Closed,Closed
351,11.700762711864408,0.1094826146917042,Open,Open,Closed,Closed,Closed
352,11.734098218166016,0.0969437146741217,Open,Open,Closed,Closed,Closed
353,11.767433724467622,0.1010498406456052,Open,Open,Closed,Closed,Closed
354,11.80076923076923,0.1054600252725583,Open,Open,Closed,Closed,Closed
355,11.834104737070838,0.0793291280387451,Open,Closed,Closed,Closed,Closed
356,11.867440243372446,0.0798019414847973,Open,Closed,Closed,Closed,Closed
357,11.900775749674054,0.1091267428418105,Open,Open,Closed,Closed,Closed
358,11.934111255975662,0.1096693997173675,Open,Open,Closed,Closed,Closed
359,11.96744676227727,0.0937635780098423,Open,Open,Closed,Closed,Closed
360,12.000782268578876,0.0901275166510515,Open,Open,Closed,Closed,Closed
361,12.034117774880489,0.1118877296297796,Open,Open,Closed,Closed,Closed
362,12.067453281182097,0.1258466006396119,Open,Open,Open,Closed,Closed
363,12.100788787483705,0.1105096203991288,Open,Open,Closed,Closed,Closed
364,12.13412429378531,0.1227581676732013,Open,Open,Open,Closed,Closed
365,12.16745980008692,0.1098989214590787,Open,Open,Closed,Closed,Closed
366,12.200795306388526,0.0974117605573911,Open,Open,Closed,Closed,Closed
367,12.234130812690134,0.0623410708273269,Closed,Closed,Closed,Closed,Closed
368,12.267466318991742,0.0845018459101718,Open,Closed,Closed,Closed,Closed
369,12.30080182529335,0.1018401736708945,Open,Open,Closed,Closed,Closed
370,12.334137331594958,0.1016632353239688,Open,Open,Closed,Closed,Closed
371,12.367472837896566,0.0784954269790252,Open,Closed,Closed,Closed,Closed
372,12.400808344198174,0.0776892843833274,Open,Closed,Closed,Closed,Closed
373,12.43414385049978,0.0851339580755326,Open,Closed,Closed,Closed,Closed
