frame,teeth,lips,action,chew_count
380,closed,closed,chew,14
381,closed,closed,chew,14
382,closed,closed,chew,14
383,closed,closed,chew,14
384,closed,closed,chew,14
385,closed,closed,chew,14
386,open,closed,chew,15
387,open,closed,chew,15
388,open,closed,chew,15
389,open,closed,chew,15
390,open,closed,chew,15
391,open,closed,chew,15
392,open,closed,chew,15
393,open,closed,chew,15
394,open,closed,chew,15
395,open,closed,chew,15
396,closed,closed,chew,15
397,closed,closed,chew,15
398,closed,closed,chew,15
399,closed,closed,chew,15
400,closed,closed,chew,15
401,closed,closed,chew,15
402,closed,closed,chew,15
403,closed,closed,chew,15
404,closed,closed,chew,15
405,closed,closed,chew,15
406,closed,closed,chew,15
407,closed,closed,chew,15
408,closed,closed,chew,15
409,open,closed,chew,16
410,open,closed,chew,16
411,open,closed,chew,16
412,open,closed,chew,16
413,open,closed,chew,16
414,open,closed,chew,16
415,open,closed,chew,16
416,open,closed,chew,16
417,open,closed,chew,16
418,open,closed,chew,16
419,open,closed,chew,16
420,open,closed,chew,16
421,open,closed,chew,16
422,open,closed,chew,16
423,closed,closed,chew,16
424,closed,closed,chew,16
425,closed,closed,chew,16
426,closed,closed,chew,16
427,closed,closed,chew,16
428,closed,closed,chew,16
429,closed,closed,chew,16
430,closed,closed,chew,16
431,closed,closed,chew,16
432,open,closed,chew,17
433,open,closed,chew,17
434,open,closed,chew,17
435,open,closed,chew,17
436,open,closed,chew,17
437,open,closed,chew,17
438,open,closed,chew,17
439,open,closed,chew,17
440,open,closed,chew,17
441,open,closed,chew,17
442,open,closed,chew,17
443,open,closed,chew,17
444,open,closed,chew,17
445,closed,closed,chew,17
446,closed,closed,chew,17
447,closed,closed,chew,17
448,closed,closed,chew,17
449,closed,closed,chew,17
450,closed,closed,chew,17
451,closed,closed,chew,17
452,closed,closed,chew,17
453,closed,closed,chew,17
454,closed,closed,chew,17
455,closed,closed,chew,17
456,closed,closed,chew,17
457,closed,closed,chew,17
458,closed,closed,chew,17
459,closed,closed,chew,17
460,closed,closed,chew,17
461,closed,closed,chew,17
462,closed,closed,chew,17
463,closed,closed,chew,17
464,open,closed,chew,18
465,open,closed,chew,18
466,open,closed,chew,18
467,open,closed,chew,18
468,open,closed,chew,18
469,open,closed,chew,18
470,open,closed,chew,18
471,open,closed,chew,18
472,open,closed,chew,18
473,open,closed,chew,18
474,open,closed,chew,18
475,open,closed,chew,18
476,open,closed,chew,18
477,open,closed,chew,18
478,closed,closed,chew,18
479,closed,closed,chew,18
480,closed,closed,chew,18
481,closed,closed,chew,18
482,closed,closed,chew,18
483,closed,closed,chew,18
484,closed,closed,chew,18
485,closed,closed,chew,18
486,open,closed,chew,19
487,open,closed,chew,19
488,open,closed,chew,19
489,open,closed,chew,19
490,open,closed,chew,19
491,open,closed,chew,19
492,open,closed,chew,19
493,open,closed,chew,19
494,open,closed,chew,19
495,open,closed,chew,19
496,open,closed,chew,19
497,open,closed,chew,19
498,open,closed,chew,19
499,open,closed,chew,19
500,open,closed,chew,19
501,closed,closed,chew,19
502,closed,closed,chew,19
503,closed,closed,chew,19
504,closed,closed,chew,19
505,closed,closed,chew,19
506,closed,closed,chew,19
507,closed,closed,chew,19
508,closed,closed,chew,19
509,closed,closed,chew,19
510,open,closed,chew,20
511,open,closed,chew,20
512,open,closed,chew,20
513,open,closed,chew,20
514,open,closed,chew,20
515,open,closed,chew,20
516,open,closed,chew,20
517,open,closed,chew,20
518,open,closed,chew,20
519,open,closed,chew,20
520,open,closed,chew,20
521,open,closed,chew,20
522,open,closed,chew,20
523,open,closed,chew,20
524,closed,closed,chew,20
525,closed,closed,chew,20
526,closed,closed,chew,20
527,closed,closed,chew,20
528,closed,closed,chew,20
529,closed,closed,chew,20
530,closed,closed,chew,20
531,closed,closed,chew,20
532,open,closed,chew,21
533,open,closed,chew,21
534,open,closed,chew,21
535,open,closed,chew,21
536,open,closed,chew,21
537,open,closed,chew,21
538,open,closed,chew,21
539,open,closed,chew,21
540,open,closed,chew,21
541,open,closed,chew,21
542,open,closed,chew,21
543,open,closed,chew,21
544,open,closed,chew,21
545,closed,closed,chew,21
546,closed,closed,chew,21
547,closed,closed,chew,21
548,closed,closed,chew,21
549,closed,closed,chew,21
550,closed,closed,chew,21
551,closed,closed,other,21
552,closed,closed,other,21
553,closed,closed,other,21
554,closed,closed,other,21
555,closed,closed,other,21
556,closed,closed,other,21
557,closed,closed,other,21
558,open,closed,other,21
559,open,closed,other,21
560,open,closed,other,21
561,open,closed,other,21
562,open,closed,other,21
563,open,closed,other,21
564,open,closed,other,21
565,open,closed,other,21
566,open,closed,other,21
567,open,closed,other,21
568,open,closed,other,21
569,closed,closed,other,21
570,closed,closed,other,21
571,closed,closed,other,21
572,closed,closed,other,21
573,closed,closed,other,21
574,closed,closed,other,21
575,closed,closed,other,21
576,closed,closed,other,21
577,closed,closed,other,21
578,closed,closed,other,21
579,closed,closed,other,21
580,closed,closed,other,21
581,closed,closed,other,21
582,open,closed,other,21
583,open,closed,other,21
584,open,closed,other,21
585,open,closed,other,21
586,open,closed,other,21
587,open,closed,other,21
588,open,closed,other,21
589,open,closed,other,21
590,open,closed,other,21
591,closed,closed,other,21
592,closed,closed,other,21
593,closed,closed,other,21
594,closed,closed,other,21
595,closed,closed,other,21
596,closed,closed,other,21
597,closed,closed,other,21
598,closed,closed,other,21
599,closed,closed,other,21
600,closed,closed,other,21
601,closed,closed,other,21
602,closed,closed,other,21
603,closed,closed,other,21
604,closed,closed,other,21
605,closed,closed,other,21
606,closed,closed,other,21
607,closed,closed,other,21
608,closed,closed,other,21
609,closed,closed,other,21
610,closed,closed,other,21
611,closed,closed,other,21
612,closed,closed,other,21
613,closed,closed,other,21
614,closed,closed,other,21
615,closed,closed,other,21
616,closed,closed,other,21
617,closed,closed,other,21
618,closed,closed,other,21
619,closed,closed,other,21
620,closed,closed,other,21
621,closed,closed,other,21
622,closed,closed,other,21
623,closed,closed,other,21
624,closed,closed,other,21
625,closed,closed,other,21
626,closed,closed,other,21
627,closed,closed,other,21
628,closed,closed,other,21
629,closed,closed,other,21
630,closed,closed,other,21
631,closed,closed,other,21
632,closed,closed,other,21
633,closed,closed,other,21
634,closed,closed,other,21
635,closed,closed,other,21
636,closed,closed,other,21
637,open,closed,other,21
638,open,closed,other,21
639,open,closed,other,21
640,open,closed,other,21
641,open,closed,other,21
642,open,closed,other,21
643,open,closed,other,21
644,open,closed,other,21
645,open,closed,other,21
646,open,closed,other,21
647,open,closed,other,21
648,open,closed,other,21
649,open,closed,other,21
650,open,closed,other,21
651,open,closed,other,21
652,closed,closed,other,21
653,closed,closed,other,21
654,closed,closed,other,21
655,closed,closed,other,21
656,closed,closed,other,21
657,closed,closed,other,21
658,closed,closed,other,21
659,closed,closed,other,21
660,closed,closed,other,21
661,closed,closed,other,21
662,closed,closed,other,21
663,closed,closed,other,21
664,closed,closed,other,21
665,closed,closed,other,21
666,closed,closed,other,21
667,closed,closed,other,21
668,closed,closed,other,21
669,closed,closed,other,21
670,closed,closed,other,21
671,closed,closed,other,21
672,closed,closed,other,21
673,closed,closed,other,21
674,closed,closed,other,21
675,closed,closed,other,21
676,closed,closed,other,21
677,closed,closed,other,21
678,closed,closed,other,21
679,closed,closed,other,21
680,closed,closed,other,21
681,closed,closed,other,21
682,closed,closed,other,21
683,closed,closed,other,21
684,closed,closed,other,21
685,closed,closed,other,21
686,closed,closed,other,21
687,closed,closed,other,21
688,closed,closed,other,21
689,closed,closed,other,21
690,closed,closed,other,21
691,closed,closed,other,21
692,closed,closed,other,21
693,closed,closed,other,21
694,closed,closed,other,21
695,closed,closed,other,21
696,closed,closed,other,21
697,closed,closed,other,21
698,closed,closed,other,21
699,closed,closed,other,21
700,closed,closed,other,21
701,closed,closed,other,21
702,closed,closed,other,21
703,closed,closed,other,21
704,closed,closed,other,21
705,closed,closed,other,21
706,closed,closed,other,21
707,closed,closed,other,21
708,closed,closed,other,21
709,closed,closed,other,21
710,closed,closed,other,21
711,closed,closed,other,21
712,closed,closed,other,21
713,closed,closed,other,21
714,closed,closed,other,21
715,closed,closed,other,21
716,closed,closed,other,21
717,closed,closed,other,21
718,closed,closed,other,21
719,closed,closed,other,21
720,closed,closed,other,21
721,open,open,bite,21
722,open,open,bite,21
723,open,open,bite,21
724,open,open,bite,21
725,open,open,bite,21
726,open,open,bite,21
727,open,open,bite,21
728,open,open,bite,21
729,open,open,bite,21
730,open,open,bite,21
731,open,open,bite,21
732,open,open,bite,21
733,open,open,bite,21
734,open,open,bite,21
735,open,open,bite,21
736,open,open,bite,21
737,open,open,bite,21
738,open,open,bite,21
739,open,open,bite,21
740,open,open,bite,21
741,open,open,bite,21
742,open,open,bite,21
743,open,open,bite,21
744,open,closed,bite,21
745,open,closed,bite,21
746,open,closed,bite,21
747,open,closed,bite,21
748,open,closed,bite,21
749,open,closed,bite,21
750,open,closed,bite,21
751,closed,closed,bite,21
752,closed,closed,bite,21
753,closed,closed,bite,21
754,closed,closed,bite,21
755,closed,closed,bite,21
756,closed,closed,bite,21
757,closed,closed,bite,21
758,closed,closed,bite,21
759,closed,closed,bite,21
760,closed,closed,bite,21
761,closed,closed,chew,21
762,open,closed,chew,22
763,open,closed,chew,22
764,open,closed,chew,22
765,open,closed,chew,22
766,open,closed,chew,22
767,open,closed,chew,22
768,open,closed,chew,22
769,open,closed,chew,22
770,open,closed,chew,22
771,open,closed,chew,22
772,closed,closed,chew,22
773,closed,closed,chew,22
774,closed,closed,chew,22
775,closed,closed,chew,22
776,closed,closed,chew,22
777,closed,closed,chew,22
778,closed,closed,chew,22
779,closed,closed,chew,22
780,closed,closed,chew,22
781,closed,closed,chew,22
782,closed,closed,chew,22
783,closed,closed,chew,22
784,open,closed,chew,23
785,open,closed,chew,23
786,open,closed,chew,23
787,open,closed,chew,23
788,open,closed,chew,23
789,open,closed,chew,23
790,open,closed,chew,23
791,open,closed,chew,23
792,open,closed,chew,23
793,closed,closed,chew,23
794,closed,closed,chew,23
795,closed,closed,chew,23
796,closed,closed,chew,23
797,closed,closed,chew,23
798,closed,closed,chew,23
799,closed,closed,chew,23
800,closed,closed,chew,23
801,closed,closed,chew,23
802,open,closed,chew,24
803,open,closed,chew,24
804,open,closed,chew,24
805,open,closed,chew,24
806,open,closed,chew,24
807,open,closed,chew,24
808,open,closed,chew,24
809,open,closed,chew,24
810,closed,closed,chew,24
811,closed,closed,chew,24
812,closed,closed,chew,24
813,closed,closed,chew,24
814,closed,closed,chew,24
815,closed,closed,chew,24
816,closed,closed,chew,24
817,closed,closed,chew,24
818,closed,closed,chew,24
819,open,closed,chew,25
820,open,closed,chew,25
821,open,closed,chew,25
822,open,closed,chew,25
823,open,closed,chew,25
824,open,closed,chew,25
825,open,closed,chew,25
826,open,closed,chew,25
827,open,closed,chew,25
828,closed,closed,chew,25
829,closed,closed,chew,25
830,closed,closed,chew,25
831,closed,closed,chew,25
832,closed,closed,chew,25
833,closed,closed,chew,25
834,closed,closed,chew,25
835,closed,closed,chew,25
836,closed,closed,chew,25
837,closed,closed,chew,25
838,open,closed,chew,26
839,open,closed,chew,26
840,open,closed,chew,26
841,open,closed,chew,26
842,open,closed,chew,26
843,open,closed,chew,26
844,open,closed,chew,26
845,closed,closed,chew,26
846,closed,closed,chew,26
847,closed,closed,chew,26
848,closed,closed,chew,26
849,closed,closed,chew,26
850,closed,closed,chew,26
851,closed,closed,chew,26
852,closed,closed,chew,26
853,closed,closed,chew,26
854,closed,closed,chew,26
855,closed,closed,chew,26
856,open,closed,chew,27
857,open,closed,chew,27
858,open,closed,chew,27
859,open,closed,chew,27
860,open,closed,chew,27
861,open,closed,chew,27
862,open,closed,chew,27
863,closed,closed,chew,27
864,closed,closed,chew,27
865,closed,closed,chew,27
866,closed,closed,chew,27
867,closed,closed,chew,27
868,closed,closed,chew,27
869,open,closed,chew,28
870,open,closed,chew,28
871,open,closed,chew,28
872,open,closed,chew,28
873,open,closed,chew,28
874,open,closed,chew,28
875,open,closed,chew,28
876,open,closed,chew,28
877,closed,closed,chew,28
878,closed,closed,chew,28
879,closed,closed,chew,28
880,closed,closed,chew,28
881,closed,closed,chew,28
882,closed,closed,chew,28
883,closed,closed,chew,28
884,closed,closed,chew,28
885,closed,closed,chew,28
886,closed,closed,chew,28
887,closed,closed,chew,28
888,open,closed,chew,29
889,open,closed,chew,29
890,open,closed,chew,29
891,open,closed,chew,29
892,open,closed,chew,29
893,open,closed,chew,29
894,open,closed,chew,29
895,closed,closed,chew,29
896,closed,closed,chew,29
897,closed,closed,chew,29
898,closed,closed,chew,29
899,closed,closed,chew,29
900,closed,closed,chew,29
901,closed,closed,chew,29
902,closed,closed,chew,29
903,closed,closed,chew,29
904,closed,closed,chew,29
905,closed,closed,chew,29
906,open,closed,chew,30
907,open,closed,chew,30
908,open,closed,chew,30
909,open,closed,chew,30
910,open,closed,chew,30
911,open,closed,chew,30
912,open,closed,chew,30
913,open,closed,chew,30
914,open,closed,chew,30
915,closed,closed,chew,30
916,closed,closed,chew,30
917,closed,closed,chew,30
918,closed,closed,chew,30
919,closed,closed,chew,30
920,closed,closed,chew,30
921,closed,closed,chew,30
922,closed,closed,chew,30
923,closed,closed,chew,30
924,closed,closed,chew,30
925,open,closed,chew,31
926,open,closed,chew,31
927,open,closed,chew,31
928,open,closed,chew,31
929,open,closed,chew,31
930,open,closed,chew,31
931,open,closed,chew,31
932,open,closed,chew,31
933,open,closed,chew,31
934,closed,closed,chew,31
935,closed,closed,chew,31
936,closed,closed,chew,31
937,closed,closed,chew,31
938,closed,closed,chew,31
939,closed,closed,chew,31
940,closed,closed,chew,31
941,closed,closed,chew,31
942,closed,closed,chew,31
943,closed,closed,chew,31
944,closed,closed,chew,31
945,closed,closed,chew,31
946,closed,closed,chew,31
947,open,closed,chew,32
948,open,closed,chew,32
949,open,closed,chew,32
950,open,closed,chew,32
951,open,closed,chew,32
952,open,closed,chew,32
953,open,closed,chew,32
954,open,closed,chew,32
955,closed,closed,chew,32
956,closed,closed,chew,32
957,closed,closed,chew,32
958,closed,closed,chew,32
959,closed,closed,chew,32
960,closed,closed,chew,32
961,closed,closed,chew,32
962,closed,closed,chew,32
963,closed,closed,chew,32
964,closed,closed,chew,32
965,closed,closed,chew,32
966,open,closed,chew,33
967,open,closed,chew,33
968,open,closed,chew,33
969,open,closed,chew,33
970,open,closed,chew,33
971,open,closed,chew,33
972,open,closed,chew,33
973,open,closed,chew,33
974,closed,closed,chew,33
975,closed,closed,chew,33
976,closed,closed,chew,33
977,closed,closed,chew,33
978,closed,closed,chew,33
979,closed,closed,chew,33
980,closed,closed,chew,33
981,closed,closed,chew,33
982,closed,closed,chew,33
983,open,closed,chew,34
984,open,closed,chew,34
985,open,closed,chew,34
986,open,closed,chew,34
987,open,closed,chew,34
988,open,closed,chew,34
989,open,closed,chew,34
990,open,closed,chew,34
991,open,closed,chew,34
992,open,closed,chew,34
993,open,closed,chew,34
994,open,closed,chew,34
995,open,closed,chew,34
996,open,closed,chew,34
997,open,closed,chew,34
998,closed,closed,chew,34
999,closed,closed,chew,34
1000,closed,closed,chew,34
1001,closed,closed,chew,34
1002,closed,closed,chew,34
1003,closed,closed,chew,34
1004,closed,closed,chew,34
1005,closed,closed,chew,34
1006,closed,closed,chew,34
1007,closed,closed,chew,34
1008,open,closed,chew,35
1009,open,closed,chew,35
1010,open,closed,chew,35
1011,open,closed,chew,35
1012,open,closed,chew,35
1013,open,closed,chew,35
1014,open,closed,chew,35
1015,open,closed,chew,35
1016,open,closed,chew,35
1017,open,closed,chew,35
1018,open,closed,chew,35
1019,closed,closed,chew,35
1020,closed,closed,chew,35
1021,closed,closed,chew,35
1022,closed,closed,chew,35
1023,closed,closed,chew,35
1024,closed,closed,chew,35
1025,closed,closed,chew,35
1026,closed,closed,chew,35
1027,closed,closed,chew,35
1028,closed,closed,chew,35
1029,open,closed,chew,36
1030,open,closed,chew,36
1031,open,closed,chew,36
1032,open,closed,chew,36
1033,open,closed,chew,36
1034,open,closed,chew,36
1035,open,closed,chew,36
1036,open,closed,chew,36
1037,open,closed,chew,36
1038,open,closed,chew,36
1039,open,closed,chew,36
1040,open,closed,chew,36
1041,closed,closed,chew,36
1042,closed,closed,chew,36
1043,closed,closed,chew,36
1044,closed,closed,chew,36
1045,closed,closed,chew,36
1046,closed,closed,chew,36
1047,closed,closed,chew,36
1048,closed,closed,chew,36
1049,closed,closed,chew,36
1050,closed,closed,chew,36
1051,closed,closed,chew,36
1052,open,closed,chew,37
1053,open,closed,chew,37
1054,open,closed,chew,37
1055,open,closed,chew,37
1056,open,closed,chew,37
1057,open,closed,chew,37
1058,open,closed,chew,37
1059,open,closed,chew,37
1060,open,closed,chew,37
1061,open,closed,chew,37
1062,closed,closed,chew,37
1063,closed,closed,chew,37
1064,closed,closed,chew,37
1065,closed,closed,chew,37
1066,open,closed,chew,38
1067,open,closed,chew,38
1068,open,closed,chew,38
1069,open,closed,chew,38
1070,open,closed,chew,38
1071,open,closed,chew,38
1072,open,closed,chew,38
1073,open,closed,chew,38
1074,open,closed,chew,38
1075,open,closed,chew,38
1076,open,closed,chew,38
1077,closed,closed,chew,38
1078,closed,closed,chew,38
1079,closed,closed,chew,38
1080,closed,closed,chew,38
1081,closed,closed,chew,38
1082,closed,closed,chew,38
1083,closed,closed,chew,38
1084,closed,closed,chew,38
1085,closed,closed,chew,38
1086,closed,closed,chew,38
1087,closed,closed,chew,38
1088,open,closed,chew,39
1089,open,closed,chew,39
1090,open,closed,chew,39
1091,open,closed,chew,39
1092,open,closed,chew,39
1093,open,closed,chew,39
1094,open,closed,chew,39
1095,open,closed,chew,39
1096,open,closed,chew,39
1097,open,closed,chew,39
1098,closed,closed,chew,39
1099,closed,closed,chew,39
1100,closed,closed,chew,39
1101,closed,closed,chew,39
1102,closed,closed,chew,39
1103,closed,closed,chew,39
1104,closed,closed,chew,39
1105,closed,closed,chew,39
1106,closed,closed,chew,39
1107,closed,closed,chew,39
1108,open,closed,chew,40
1109,open,closed,chew,40
1110,open,closed,chew,40
1111,open,closed,chew,40
1112,open,closed,chew,40
1113,open,closed,chew,40
1114,open,closed,chew,40
1115,open,closed,chew,40
1116,open,closed,chew,40
1117,open,closed,chew,40
1118,open,closed,chew,40
1119,open,closed,chew,40
1120,closed,closed,chew,40
1121,closed,closed,chew,40
1122,closed,closed,chew,40
1123,closed,closed,chew,40
1124,closed,closed,chew,40
