t_rel,chew
26.667627,1
26.700962,1
26.734296,1
26.767631,1
26.800965,1
26.834300,1
26.867634,1
26.900969,1
26.934304,1
26.967638,1
27.000973,1
27.034307,1
27.067642,1
27.100976,1
27.134311,1
27.167645,1
27.200980,1
27.234314,1
27.267649,1
27.300983,1
27.334318,1
27.367652,1
27.400987,1
27.434322,1
27.467656,1
27.500991,1
27.534325,1
27.567660,1
27.600994,1
27.634329,1
27.667663,1
27.700998,1
27.734332,1
27.767667,1
27.801001,1
27.834336,1
27.867671,1
27.901005,1
27.934340,1
27.967674,1
28.001009,1
28.034343,1
28.067678,1
28.101012,1
28.134347,1
28.167681,1
28.201016,1
28.234350,1
28.267685,1
28.301019,1
28.334354,1
28.367689,1
28.401023,1
28.434358,1
28.467692,1
28.501027,1
28.534361,1
28.567696,1
28.601030,1
28.634365,1
28.667699,1
28.701034,1
28.734368,1
28.767703,1
28.801037,1
28.834372,1
28.867707,1
28.901041,1
28.934376,1
28.967710,1
29.001045,1
29.034379,1
29.067714,1
29.101048,1
29.134383,1
29.167717,1
29.201052,1
29.234386,1
29.267721,1
29.301055,1
29.334390,1
29.367725,1
29.401059,1
29.434394,1
29.467728,1
29.501063,1
29.534397,1
29.567732,1
29.601066,1
29.634401,1
29.667735,1
29.701070,1
29.734404,1
29.767739,1
29.801073,1
29.834408,1
29.867743,1
29.901077,1
29.934412,1
29.967746,1
30.001081,1
30.034415,1
30.067750,1
30.101084,1
30.134419,1
30.167753,1
30.201088,1
30.234422,1
30.267757,1
30.301091,1
30.334426,1
30.367761,1
30.401095,1
30.434430,1
30.467764,1
30.501099,1
30.534433,1
30.567768,1
30.601102,1
30.634437,1
30.667771,1
30.701106,1
30.734440,1
30.767775,1
30.801110,1
30.834444,1
30.867779,1
30.901113,1
30.934448,1
30.967782,1
31.001117,1
31.034451,1
31.067786,1
31.101120,1
31.134455,1
31.167789,1
31.201124,1
31.234458,1
31.267793,1
31.301128,1
31.334462,1
31.367797,1
31.401131,1
31.434466,1
31.467800,1
31.501135,1
31.534469,1
31.567804,1
31.601138,1
31.634473,1
31.667807,1
31.701142,1
31.734476,1
31.767811,1
31.801146,1
31.834480,1
31.867815,1
31.901149,1
31.934484,1
31.967818,1
32.001153,1
32.034487,1
32.067822,1
32.101156,1
32.134491,1
32.167825,1
32.201160,1
32.234494,1
32.267829,1
32.301164,1
32.334498,1
32.367833,1
32.401167,1
32.434502,1
32.467836,1
32.501171,1
32.534505,1
32.567840,1
32.601174,1
32.634509,1
32.667843,1
32.701178,1
32.734512,1
32.767847,1
32.801182,1
32.834516,1
32.867851,1
32.901185,1
32.934520,1
32.967854,1
33.001189,1
33.034523,1
33.067858,1
33.101192,1
33.134527,1
33.167861,1
33.201196,1
33.234530,1
33.267865,1
33.301200,1
33.334534,1
33.367869,1
33.401203,1
33.434538,1
33.467872,1
33.501207,1
33.534541,1
33.567876,1
33.601210,1
33.634545,1
33.667879,1
33.701214,1
33.734549,1
33.767883,1
33.801218,1
33.834552,1
33.867887,1
33.901221,1
33.934556,1
33.967890,1
34.001225,1
34.034559,1
34.067894,1
34.101228,1
34.134563,1
34.167897,1
34.201232,1
34.234567,1
34.267901,1
34.301236,1
34.334570,1
34.367905,1
34.401239,1
34.434574,1
34.467908,1
34.501243,1
34.534577,1
34.567912,1
34.601246,1
34.634581,1
34.667915,1
34.701250,1
34.734585,1
34.767919,1
34.801254,1
34.834588,1
34.867923,1
34.901257,1
34.934592,1
34.967926,1
35.001261,1
35.034595,1
35.067930,1
35.101264,1
35.134599,1
35.167933,1
35.201268,1
35.234603,1
35.267937,1
35.301272,1
35.334606,1
35.367941,1
35.401275,1
35.434610,1
35.467944,1
35.501279,1
35.534613,1
35.567948,1
35.601282,1
35.634617,1
35.667951,1
35.701286,1
35.734621,1
35.767955,1
35.801290,1
35.834624,1
35.867959,1
35.901293,1
35.934628,1
35.967962,1
36.001297,1
36.034631,1
36.067966,1
36.101300,1
36.134635,1
36.167970,1
36.201304,1
36.234639,1
36.267973,1
36.301308,1
36.334642,1
36.367977,1
36.401311,1
36.434646,1
36.467980,1
36.501315,1
36.534649,1
36.567984,1
36.601318,1
36.634653,1
36.667988,1
36.701322,1
36.734657,1
36.767991,1
36.801326,1
36.834660,1
36.867995,1
36.901329,1
36.934664,1
36.967998,1
37.001333,1
37.034667,1
37.068002,1
37.101336,1
37.134671,1
37.168006,1
37.201340,1
37.234675,1
37.268009,1
37.301344,1
37.334678,1
37.368013,1
37.401347,1
37.434682,1
37.468016,1
37.501351,1
37.534685,1
37.568020,1
37.601354,1
37.634689,1
37.668024,1
37.701358,1
37.734693,1
37.768027,1
37.801362,1
37.834696,1
37.868031,1
37.901365,1
37.934700,1
37.968034,1
38.001369,1
38.034703,1
38.068038,1
38.101372,1
38.134707,1
38.168042,1
38.201376,1
38.234711,1
38.268045,1
38.301380,1
38.334714,1
38.368049,1
38.401383,1
38.434718,1
38.468052,1
38.501387,1
38.534721,1
38.568056,1
38.601390,1
38.634725,1
38.668060,1
38.701394,1
38.734729,1
38.768063,1
38.801398,1
38.834732,1
38.868067,1
38.901401,1
38.934736,1
38.968070,1
39.001405,1
39.034739,1
39.068074,1
39.101409,1
39.134743,1
39.168078,1
39.201412,1
39.234747,1
39.268081,1
39.301416,1
39.334750,1
39.368085,1
39.401419,1
39.434754,1
39.468088,1
39.501423,1
39.534757,1
39.568092,1
39.601427,1
39.634761,1
39.668096,1
39.701430,1
39.734765,1
39.768099,1
39.801434,1
39.834768,1
39.868103,1
39.901437,1
39.934772,1
39.968106,1
40.001441,1
40.034775,1
40.068110,1
40.101445,1
40.134779,1
40.168114,1
40.201448,1
40.234783,1
40.268117,1
40.301452,1
40.334786,1
40.368121,1
40.401455,1
40.434790,1
40.468124,1
40.501459,1
40.534793,1
40.568128,1
40.601463,1
40.634797,1
40.668132,1
40.701466,1
40.734801,1
40.768135,1
40.801470,1
40.834804,1
40.868139,1
